team,game_date,pitcher_hand_split,PA,K,BB,HR,H,team_k_rate_vs_hand,team_bb_rate_vs_hand,team_hr_rate_vs_hand,team_h_rate_vs_hand,team_hand_key,team_k_rate_vs_hand_last7,team_bb_rate_vs_hand_last7,team_hr_rate_vs_hand_last7,team_h_rate_vs_hand_last7,team_k_rate_vs_hand_last10,team_bb_rate_vs_hand_last10,team_hr_rate_vs_hand_last10,team_h_rate_vs_hand_last10,team_k_rate_vs_hand_last14,team_bb_rate_vs_hand_last14,team_hr_rate_vs_hand_last14,team_h_rate_vs_hand_last14,team_k_rate_vs_hand_last21,team_bb_rate_vs_hand_last21,team_hr_rate_vs_hand_last21,team_h_rate_vs_hand_last21,team_k_rate_vs_hand_last30,team_bb_rate_vs_hand_last30,team_hr_rate_vs_hand_last30,team_h_rate_vs_hand_last30,team_k_rate_vs_hand_std,team_bb_rate_vs_hand_std,team_hr_rate_vs_hand_std,team_h_rate_vs_hand_std
ATH,2026-04-12,L,9,4,0,0,0,0.4444,0.0000,0.0000,0.0000,ATH_vs_L,,,,,,,,,,,,,,,,,,,,,,,,
ATH,2026-04-14,L,34,10,8,0,4,0.2941,0.2353,0.0000,0.1176,ATH_vs_L,0.4444,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000
ATH,2026-04-15,L,8,2,1,0,1,0.2500,0.1250,0.0000,0.1250,ATH_vs_L,0.3693,0.1176,0.0000,0.0588,0.3693,0.1176,0.0000,0.0588,0.3693,0.1176,0.0000,0.0588,0.3693,0.1176,0.0000,0.0588,0.3693,0.1176,0.0000,0.0588,0.3693,0.1176,0.0000,0.0588
ATH,2026-04-16,L,6,0,0,0,3,0.0000,0.0000,0.0000,0.5000,ATH_vs_L,0.3295,0.1201,0.0000,0.0809,0.3295,0.1201,0.0000,0.0809,0.3295,0.1201,0.0000,0.0809,0.3295,0.1201,0.0000,0.0809,0.3295,0.1201,0.0000,0.0809,0.3295,0.1201,0.0000,0.0809
ATH,2026-04-17,L,9,1,2,0,1,0.1111,0.2222,0.0000,0.1111,ATH_vs_L,0.2471,0.0901,0.0000,0.1857,0.2471,0.0901,0.0000,0.1857,0.2471,0.0901,0.0000,0.1857,0.2471,0.0901,0.0000,0.1857,0.2471,0.0901,0.0000,0.1857,0.2471,0.0901,0.0000,0.1857
ATH,2026-04-18,L,14,2,2,0,5,0.1429,0.1429,0.0000,0.3571,ATH_vs_L,0.2199,0.1165,0.0000,0.1708,0.2199,0.1165,0.0000,0.1708,0.2199,0.1165,0.0000,0.1708,0.2199,0.1165,0.0000,0.1708,0.2199,0.1165,0.0000,0.1708,0.2199,0.1165,0.0000,0.1708
ATH,2026-04-19,L,22,7,1,1,2,0.3182,0.0455,0.0455,0.0909,ATH_vs_L,0.2071,0.1209,0.0000,0.2018,0.2071,0.1209,0.0000,0.2018,0.2071,0.1209,0.0000,0.2018,0.2071,0.1209,0.0000,0.2018,0.2071,0.1209,0.0000,0.2018,0.2071,0.1209,0.0000,0.2018
ATH,2026-04-20,L,6,0,0,0,2,0.0000,0.0000,0.0000,0.3333,ATH_vs_L,0.2230,0.1101,0.0065,0.1860,0.2230,0.1101,0.0065,0.1860,0.2230,0.1101,0.0065,0.1860,0.2230,0.1101,0.0065,0.1860,0.2230,0.1101,0.0065,0.1860,0.2230,0.1101,0.0065,0.1860
ATH,2026-04-21,L,5,0,0,1,2,0.0000,0.0000,0.2000,0.4000,ATH_vs_L,0.1595,0.1101,0.0065,0.2336,0.1951,0.0964,0.0057,0.2044,0.1951,0.0964,0.0057,0.2044,0.1951,0.0964,0.0057,0.2044,0.1951,0.0964,0.0057,0.2044,0.1951,0.0964,0.0057,0.2044
ATH,2026-04-22,L,8,2,1,0,2,0.2500,0.1250,0.0000,0.2500,ATH_vs_L,0.1175,0.0765,0.0351,0.2739,0.1734,0.0856,0.0273,0.2261,0.1734,0.0856,0.0273,0.2261,0.1734,0.0856,0.0273,0.2261,0.1734,0.0856,0.0273,0.2261,0.1734,0.0856,0.0273,0.2261
