team,game_date,batter_hand_split,PA,K,BB,HR,H,team_allowed_k_rate_vs_hand,team_allowed_bb_rate_vs_hand,team_allowed_hr_rate_vs_hand,team_allowed_h_rate_vs_hand,team_hand_key,team_allowed_k_rate_vs_hand_last7,team_allowed_bb_rate_vs_hand_last7,team_allowed_hr_rate_vs_hand_last7,team_allowed_h_rate_vs_hand_last7,team_allowed_k_rate_vs_hand_last10,team_allowed_bb_rate_vs_hand_last10,team_allowed_hr_rate_vs_hand_last10,team_allowed_h_rate_vs_hand_last10,team_allowed_k_rate_vs_hand_last14,team_allowed_bb_rate_vs_hand_last14,team_allowed_hr_rate_vs_hand_last14,team_allowed_h_rate_vs_hand_last14,team_allowed_k_rate_vs_hand_last21,team_allowed_bb_rate_vs_hand_last21,team_allowed_hr_rate_vs_hand_last21,team_allowed_h_rate_vs_hand_last21,team_allowed_k_rate_vs_hand_last30,team_allowed_bb_rate_vs_hand_last30,team_allowed_hr_rate_vs_hand_last30,team_allowed_h_rate_vs_hand_last30,team_allowed_k_rate_vs_hand_std,team_allowed_bb_rate_vs_hand_std,team_allowed_hr_rate_vs_hand_std,team_allowed_h_rate_vs_hand_std
ATH,2026-04-12,L,16,3,0,0,3,0.1875,0.0000,0.0000,0.1875,ATH_vs_L,,,,,,,,,,,,,,,,,,,,,,,,
ATH,2026-04-13,L,24,9,2,0,5,0.3750,0.0833,0.0000,0.2083,ATH_vs_L,0.1875,0.0000,0.0000,0.1875,0.1875,0.0000,0.0000,0.1875,0.1875,0.0000,0.0000,0.1875,0.1875,0.0000,0.0000,0.1875,0.1875,0.0000,0.0000,0.1875,0.1875,0.0000,0.0000,0.1875
ATH,2026-04-14,L,10,1,1,0,1,0.1000,0.1000,0.0000,0.1000,ATH_vs_L,0.2812,0.0417,0.0000,0.1979,0.2812,0.0417,0.0000,0.1979,0.2812,0.0417,0.0000,0.1979,0.2812,0.0417,0.0000,0.1979,0.2812,0.0417,0.0000,0.1979,0.2812,0.0417,0.0000,0.1979
ATH,2026-04-15,L,18,5,4,1,1,0.2778,0.2222,0.0556,0.0556,ATH_vs_L,0.2208,0.0611,0.0000,0.1653,0.2208,0.0611,0.0000,0.1653,0.2208,0.0611,0.0000,0.1653,0.2208,0.0611,0.0000,0.1653,0.2208,0.0611,0.0000,0.1653,0.2208,0.0611,0.0000,0.1653
ATH,2026-04-16,L,17,2,4,0,3,0.1176,0.2353,0.0000,0.1765,ATH_vs_L,0.2351,0.1014,0.0139,0.1378,0.2351,0.1014,0.0139,0.1378,0.2351,0.1014,0.0139,0.1378,0.2351,0.1014,0.0139,0.1378,0.2351,0.1014,0.0139,0.1378,0.2351,0.1014,0.0139,0.1378
ATH,2026-04-17,L,26,7,2,1,10,0.2692,0.0769,0.0385,0.3846,ATH_vs_L,0.2116,0.1282,0.0111,0.1456,0.2116,0.1282,0.0111,0.1456,0.2116,0.1282,0.0111,0.1456,0.2116,0.1282,0.0111,0.1456,0.2116,0.1282,0.0111,0.1456,0.2116,0.1282,0.0111,0.1456
ATH,2026-04-18,L,31,5,5,3,4,0.1613,0.1613,0.0968,0.1290,ATH_vs_L,0.2212,0.1196,0.0157,0.1854,0.2212,0.1196,0.0157,0.1854,0.2212,0.1196,0.0157,0.1854,0.2212,0.1196,0.0157,0.1854,0.2212,0.1196,0.0157,0.1854,0.2212,0.1196,0.0157,0.1854
ATH,2026-04-19,L,13,5,1,2,3,0.3846,0.0769,0.1538,0.2308,ATH_vs_L,0.2126,0.1256,0.0273,0.1774,0.2126,0.1256,0.0273,0.1774,0.2126,0.1256,0.0273,0.1774,0.2126,0.1256,0.0273,0.1774,0.2126,0.1256,0.0273,0.1774,0.2126,0.1256,0.0273,0.1774
ATH,2026-04-20,L,27,3,1,2,8,0.1111,0.0370,0.0741,0.2963,ATH_vs_L,0.2408,0.1366,0.0492,0.1835,0.2341,0.1195,0.0431,0.1840,0.2341,0.1195,0.0431,0.1840,0.2341,0.1195,0.0431,0.1840,0.2341,0.1195,0.0431,0.1840,0.2341,0.1195,0.0431,0.1840
ATH,2026-04-21,L,17,4,2,0,1,0.2353,0.1176,0.0000,0.0588,ATH_vs_L,0.2031,0.1300,0.0598,0.1961,0.2205,0.1103,0.0465,0.1965,0.2205,0.1103,0.0465,0.1965,0.2205,0.1103,0.0465,0.1965,0.2205,0.1103,0.0465,0.1965,0.2205,0.1103,0.0465,0.1965
ATH,2026-04-22,L,27,5,1,1,9,0.1852,0.0370,0.0370,0.3333,ATH_vs_L,0.2224,0.1325,0.0598,0.1902,0.2219,0.1111,0.0419,0.1827,0.2219,0.1111,0.0419,0.1827,0.2219,0.1111,0.0419,0.1827,0.2219,0.1111,0.0419,0.1827,0.2219,0.1111,0.0419,0.1827
ATH,2026-04-24,L,21,4,1,0,6,0.1905,0.0476,0.0000,0.2857,ATH_vs_L,0.2092,0.1060,0.0572,0.2299,0.2217,0.1148,0.0456,0.1973,0.2186,0.1043,0.0414,0.1964,0.2186,0.1043,0.0414,0.1964,0.2186,0.1043,0.0414,0.1964,0.2186,0.1043,0.0414,0.1964
ATH,2026-04-25,L,13,1,1,0,2,0.0769,0.0769,0.0000,0.1538,ATH_vs_L,0.2196,0.0792,0.0572,0.2455,0.2033,0.1112,0.0456,0.2051,0.2163,0.0996,0.0380,0.2039,0.2163,0.0996,0.0380,0.2039,0.2163,0.0996,0.0380,0.2039,0.2163,0.0996,0.0380,0.2039
ATH,2026-04-26,L,24,4,3,0,3,0.1667,0.1250,0.0000,0.1250,ATH_vs_L,0.1921,0.0792,0.0517,0.2125,0.2010,0.1089,0.0456,0.2104,0.2055,0.0979,0.0351,0.2000,0.2055,0.0979,0.0351,0.2000,0.2055,0.0979,0.0351,0.2000,0.2055,0.0979,0.0351,0.2000
ATH,2026-04-28,L,17,5,1,0,2,0.2941,0.0588,0.0000,0.1176,ATH_vs_L,0.1929,0.0740,0.0379,0.2120,0.1898,0.0992,0.0400,0.2174,0.2028,0.0998,0.0326,0.1947,0.2028,0.0998,0.0326,0.1947,0.2028,0.0998,0.0326,0.1947,0.2028,0.0998,0.0326,0.1947
ATH,2026-04-29,L,19,6,3,0,2,0.3158,0.1579,0.0000,0.1053,ATH_vs_L,0.1800,0.0714,0.0159,0.1958,0.2075,0.0815,0.0400,0.2115,0.2104,0.1040,0.0326,0.1897,0.2089,0.0971,0.0304,0.1895,0.2089,0.0971,0.0304,0.1895,0.2089,0.0971,0.0304,0.1895
ATH,2026-04-30,L,11,4,1,0,2,0.3636,0.0909,0.0000,0.1818,ATH_vs_L,0.2092,0.0887,0.0053,0.1685,0.2121,0.0896,0.0362,0.1836,0.2062,0.1093,0.0326,0.1823,0.2155,0.1009,0.0285,0.1843,0.2155,0.1009,0.0285,0.1843,0.2155,0.1009,0.0285,0.1843
ATH,2026-05-01,L,36,7,6,0,8,0.1944,0.1667,0.0000,0.2222,ATH_vs_L,0.2275,0.0849,0.0053,0.1861,0.2324,0.0826,0.0265,0.1889,0.2250,0.1087,0.0326,0.1882,0.2243,0.1003,0.0268,0.1841,0.2243,0.1003,0.0268,0.1841,0.2243,0.1003,0.0268,0.1841
ATH,2026-05-02,L,27,4,5,1,7,0.1481,0.1852,0.0370,0.2593,ATH_vs_L,0.2289,0.1034,0.0000,0.1702,0.2134,0.0916,0.0111,0.1880,0.2190,0.1047,0.0286,0.2001,0.2226,0.1040,0.0253,0.1862,0.2226,0.1040,0.0253,0.1862,0.2226,0.1040,0.0253,0.1862
