feature,importance,target
opp_sp_h_rate,0.061857093,H
PA_last10,0.0390011,H
PA_last14,0.02905897,H
PA_last21,0.024309011,H
PA_std,0.022610739,H
PA_last30,0.019565333,H
opp_sp_ip,0.016147785,H
hitter_bb_rate_vs_hand_std_R,0.015742823,H
hitter_k_rate_vs_hand_std_R,0.015576378,H
PA_last7,0.013182648,H
H_std,0.012735019,H
hitter_bb_rate_vs_hand_std_L,0.010377629,H
hitter_hr_rate_vs_hand_std_L,0.01011593,H
hitter_hr_rate_vs_hand_std_R,0.009801641,H
hitter_k_rate_vs_hand_last10_L,0.009212424,H
opp_sp_hr_rate,0.009163368,H
hitter_h_rate_vs_hand_std_L,0.008559947,H
max_EV_std,0.008519558,H
hitter_hr_rate_vs_hand_last10_R,0.008401562,H
hitter_bb_rate_vs_hand_last10_L,0.008366513,H
hitter_h_rate_vs_hand_std_R,0.008017777,H
H_last21,0.007714141,H
H_last14,0.0076549887,H
hitter_hr_rate_vs_hand_last10_L,0.007571608,H
PA_last3,0.007506003,H
opp_sp_k_rate,0.007502875,H
H_last30,0.0074984627,H
hitter_k_rate_vs_hand_std_L,0.0074519026,H
hitter_k_rate_vs_hand_last10_R,0.0074455226,H
hitter_h_rate_vs_hand_last10_L,0.007149295,H
h_tt_bb,0.0070155966,H
hitter_bb_rate_vs_hand_last10_R,0.0067921933,H
h_tt_k,0.0067911237,H
hitter_h_rate_vs_hand_last10_R,0.0067862244,H
opp_sp_bb_rate,0.0067248917,H
opp_sp_ip_last10,0.0067107324,H
HR_last21,0.006699394,H
HR_last30,0.0066543063,H
ev_spread_last10,0.006637919,H
opp_sp_h_rate_last10,0.006634469,H
xbh_proxy_rate_last10,0.00663319,H
xbh_proxy_rate_std,0.0065216944,H
ev_spread_std,0.0065197693,H
hr_rate_last7,0.006512599,H
k_rate_std,0.0064873863,H
blast_proxy_std,0.006482074,H
opp_sp_h_rate_std,0.0064795883,H
h_rate_last10,0.006451268,H
h_tt_h,0.006433837,H
bb_rate_last30,0.0064120255,H
HR_std,0.006408659,H
avg_EV_std,0.0063558416,H
HR_last14,0.0063421894,H
hr_rate_last30,0.006318241,H
k_rate_last10,0.006309919,H
team_allowed_k_rate_vs_hand_std,0.0063095656,H
k_rate_last30,0.0063008303,H
opp_sp_ip_std,0.0062937387,H
hr_rate_std,0.006280804,H
K_last7,0.006280165,H
k_rate_last14,0.0062742913,H
h_tt_hr,0.0062301955,H
K_std,0.0062214686,H
