feature,importance,target
team_k_rate_vs_hand,0.13981317,K
pitcher_k_rate_vs_hand_R,0.08836578,K
pitcher_k_rate_vs_hand_L,0.060403734,K
outs_std,0.047670387,K
K_last14,0.03891702,K
max_ip_last10,0.03073058,K
max_ip_last5,0.025043154,K
pitches_last21,0.02374118,K
pitches_last30,0.023671282,K
BF_last3,0.022929763,K
starter_pct_last5,0.022912363,K
pitches_std,0.018339507,K
pitches_last3,0.018139618,K
IP_last10,0.01804781,K
pitches_last7,0.017767254,K
starter_pct_last10,0.01637658,K
BF_last14,0.015657632,K
BF_last7,0.015301707,K
BF_last21,0.014122394,K
pitches_last14,0.01298673,K
K_std,0.012083337,K
K_last10,0.011840561,K
outs_last3,0.011354393,K
pitches_last10,0.010961319,K
K_last7,0.010889463,K
K_last30,0.010860487,K
team_h_rate_vs_hand,0.009813258,K
outs_last14,0.00795187,K
pitcher_h_rate_vs_hand_R,0.007469751,K
BF_std,0.0069570816,K
pitcher_h_rate_vs_hand_L,0.0069126803,K
pitcher_bb_rate_vs_hand_R,0.006837644,K
outs_last10,0.006816371,K
K_last21,0.0067873998,K
H_last7,0.0063502234,K
IP_last21,0.005923025,K
outs_last21,0.005469825,K
team_bb_rate_vs_hand,0.0052603665,K
outs_last7,0.0051487526,K
IP_last7,0.004673649,K
pitcher_bb_rate_vs_hand_L,0.00421029,K
pitcher_hr_rate_vs_hand_L,0.0041407514,K
pitcher_hr_rate_vs_hand_R,0.003776826,K
HR_last30,0.0037704315,K
days_rest,0.0037252335,K
IP_std,0.003631614,K
H_last10,0.0034772546,K
BB_last21,0.003433722,K
BF_last30,0.0033981146,K
K_rate_last21,0.0030833553,K
H_std,0.002963062,K
pitcher_k_rate_vs_hand_std_R,0.0027886573,K
IP_last14,0.002680953,K
H_last30,0.00267173,K
team_h_rate_vs_hand_std,0.0026569061,K
IP_last30,0.002640175,K
BB_rate_last21,0.0025154676,K
H_rate_std,0.0024927643,K
BF_last10,0.0023675906,K
pitcher_k_rate_vs_hand_std_L,0.0023066453,K
pitcher_h_rate_vs_hand_last10_L,0.0023019372,K
pitcher_k_rate_vs_hand_last10_R,0.0023005332,K
BB_last30,0.0021896919,K
team_hr_rate_vs_hand_std,0.0021771723,K
BB_std,0.002173192,K
BB_last14,0.0021188022,K
pitcher_hr_rate_vs_hand_std_L,0.0020200238,K
outs_last30,0.0019811906,K
HR_last14,0.0019655535,K
HR_std,0.0019573001,K
H_last14,0.0019477807,K
pitcher_k_rate_vs_hand_last10_L,0.0019413123,K
H_rate_last21,0.0019391848,K
HR_rate_last10,0.0018438824,K
HR_rate_last14,0.0018225966,K
H_rate_last30,0.0018022638,K
H_last21,0.0017983918,K
team_k_rate_vs_hand_std,0.001794043,K
avg_velocity_std,0.0017893194,K
avg_velocity_last10,0.0017866136,K
pitcher_bb_rate_vs_hand_last10_L,0.0016933416,K
avg_spin_std,0.00168262,K
pitcher_bb_rate_vs_hand_std_R,0.0016584606,K
pitcher_hr_rate_vs_hand_std_R,0.0016542625,K
pitcher_h_rate_vs_hand_last10_R,0.001641101,K
BB_rate_last30,0.0016330875,K
HR_rate_std,0.0016145053,K
BF_per_IP_std,0.0015963454,K
pitcher_bb_rate_vs_hand_std_L,0.001595773,K
K_rate_last10,0.0015739703,K
pitches_per_IP_last10,0.0015653874,K
avg_velocity_last7,0.0015626779,K
pitcher_bb_rate_vs_hand_last10_R,0.0015480104,K
BB_rate_std,0.0015347769,K
BF_per_IP_last10,0.0015342373,K
pitcher_hr_rate_vs_hand_last10_R,0.0015301085,K
team_bb_rate_vs_hand_last10,0.0015109467,K
pitches_per_BF_last10,0.0015037995,K
pitcher_h_rate_vs_hand_std_L,0.0015007274,K
pitcher_h_rate_vs_hand_std_R,0.001482775,K
K_rate_last7,0.0014706245,K
HR_last21,0.0014655138,K
H_rate_last10,0.0014635102,K
pitches_per_IP_std,0.0014528675,K
BB_rate_last10,0.0014362723,K
team_hr_rate_vs_hand_last10,0.0014188065,K
HR_last7,0.0014170081,K
H_rate_last14,0.0013830733,K
K_rate_last14,0.0013572342,K
K_rate_last30,0.0013562903,K
pitcher_hr_rate_vs_hand_last10_L,0.0013374345,K
BB_rate_last7,0.0013214753,K
HR_last10,0.0013091184,K
team_k_rate_vs_hand_last10,0.0013065027,K
HR_rate_last30,0.0012749493,K
BB_rate_last14,0.0012391572,K
