player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,BOS,DET,Sonny Gray,543243,,,,,4.28,13.0,2.17,3.98,4.11,1.6,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,DET,BOS,Jack Flaherty,656427,,,,,4.27,13.0,2.15,3.9,3.78,1.65,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,CLE,HOU,Slade Cecconi,677944,,,,,4.16,12.0,2.21,4.09,4.16,1.6,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,HOU,CLE,Spencer Arrighetti,681293,,,,,4.19,13.0,2.17,3.95,4.27,1.61,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,CIN,TB,Rhett Lowder,695076,,,,,4.24,13.0,2.16,4.02,3.94,1.54,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,MIA,STL,Max Meyer,676974,,,,,4.22,13.0,2.2,4.04,3.72,1.62,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,STL,MIA,Michael McGreevy,700241,,,,,4.29,13.0,2.25,4.21,3.98,1.59,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,WSH,ATL,Jake Irvin,663623,,,,,4.16,12.0,2.16,3.95,3.92,1.69,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,ATL,WSH,Bryce Elder,693821,,,,,4.24,13.0,2.19,4.03,3.89,1.61,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,KC,BAL,Seth Lugo,607625,,,,,4.2,13.0,2.22,4.03,4.03,1.68,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,BAL,KC,Kyle Bradish,680694,,,,,4.26,13.0,2.08,3.82,4.67,1.55,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,PHI,CHC,Aaron Nola,605400,,,,,4.17,13.0,2.19,3.96,3.82,1.68,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,COL,LAD,Jose Quintana,500779,,,,,4.14,12.0,2.22,4.19,3.11,1.56,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,LAD,COL,Justin Wrobleski,680736,,,,,4.29,13.0,2.04,3.61,4.34,1.62,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,LAA,TOR,Reid Detmers,672282,,,,,4.08,12.0,2.05,3.57,4.1,1.68,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,TOR,LAA,Dylan Cease,656302,,,,,4.16,12.0,2.18,3.95,3.89,1.69,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,SEA,ATH,Emerson Hancock,676106,,,,,4.23,13.0,2.19,4.05,4.15,1.65,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
pitcher,ATH,SEA,J.T. Ginn,669372,,,,,4.2,13.0,2.16,3.9,3.96,1.69,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20
hitter,BOS,DET,Roman Anthony,701350,1.0,LF,Confirmed,4.01,,,,,1.0,0.76,0.55,0.4,0.22,1.17,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Willson Contreras,575929,2.0,1B,Confirmed,3.81,,,,,1.36,0.38,0.68,0.4,0.29,1.37,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Wilyer Abreu,677800,3.0,RF,Confirmed,3.9,,,,,1.2,0.58,0.55,0.37,0.26,1.18,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Masataka Yoshida,807799,4.0,DH,Confirmed,2.96,,,,,0.9,0.33,0.5,0.27,0.2,0.97,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Trevor Story,596115,5.0,SS,Confirmed,4.01,,,,,1.4,0.29,0.54,0.3,0.24,1.08,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Jarren Duran,680776,6.0,CF,Confirmed,3.83,,,,,1.34,0.36,0.53,0.28,0.24,1.05,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Caleb Durbin,702332,7.0,3B,Confirmed,3.87,,,,,0.76,0.58,0.68,0.35,0.24,1.27,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Marcelo Mayer,691785,8.0,2B,Confirmed,3.22,,,,,0.79,0.45,0.63,0.32,0.24,1.18,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,BOS,DET,Carlos Narváez,665966,9.0,C,Confirmed,3.08,,,,,1.07,0.42,0.36,0.22,0.15,0.73,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,DET,BOS,Kevin McGonigle,805808,1.0,SS,Confirmed,4.43,,,,,0.58,0.55,1.6,0.91,0.72,3.23,0.29,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
hitter,DET,BOS,Gleyber Torres,650402,2.0,2B,Confirmed,4.53,,,,,0.33,0.31,1.54,0.76,0.61,2.91,0.15,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-04-20
