player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence
pitcher,MIL,CIN,Kyle Harrison,690986,,,Probable Starter,,4.85,15.0,2.64,4.83,5.34,1.76,5.284,5.396,1.764,1.765,4.781,5.045,0.763,0.788,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,CIN,MIL,Brady Singer,663903,,,Probable Starter,,5.13,15.0,3.04,5.78,4.35,1.79,4.64,4.053,1.764,1.864,5.755,5.901,0.866,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,ATL,PHI,Tyler Mahle,641816,,,Probable Starter,,5.33,16.0,2.66,4.98,5.49,1.68,5.333,5.644,1.598,1.938,4.851,5.489,0.699,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,PHI,ATL,Aaron Nola,605400,,,Probable Starter,,5.13,15.0,2.9,5.08,4.37,2.13,4.0,4.74,2.057,2.353,4.855,5.968,0.866,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,BOS,BAL,Payton Tolle,801139,,,Probable Starter,,5.33,16.0,2.79,5.07,6.56,1.8,6.458,6.659,1.764,1.912,4.851,5.954,0.866,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,BAL,BOS,Kyle Bradish,680694,,,Probable Starter,,5.13,15.0,2.88,5.34,5.01,1.91,5.284,4.74,1.764,2.353,5.2,5.892,0.763,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,LAA,PIT,Walbert Ureña,700712,,,Probable Starter,,5.13,15.0,2.59,4.37,6.08,2.38,6.458,5.7,2.057,3.365,4.138,5.301,0.545,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,PIT,LAA,Paul Skenes,694973,,,Probable Starter,,5.13,15.0,2.6,4.85,6.45,1.66,6.458,6.451,1.598,1.864,4.781,5.14,0.699,0.819,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,DET,CLE,Jackson Jobe,695549,,,Probable Starter,,4.44,13.0,2.53,4.73,4.05,1.64,4.0,4.109,1.598,1.749,4.781,4.507,0.699,0.744,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitcher,CLE,DET,Gavin Williams,668909,,,Probable Starter,,4.97,15.0,2.6,4.84,5.4,1.61,5.284,5.523,1.538,1.806,4.781,5.096,0.763,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,
