player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,home_team,proj_hits_allowed_raw,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence
pitcher,CLE,DET,Joey Cantillo,676282,,,Probable Starter,,4.9219,14.0,2.4309,4.57070495385064,4.522399999999999,2.1343,,,,,,CLE,5.52,,,,,,,,,,,,,,,,,,,
pitcher,DET,CLE,Casey Mize,663554,,,Probable Starter,,4.2019,12.0,2.461675900448313,4.608167753726772,3.8024,3.4243,,,,,,DET,4.626183748369477,,,,,,,,,,,,,,,,,,,
pitcher,PIT,STL,Braxton Ashcraft,677952,,,Probable Starter,,6.5219,19.0,2.4909,5.240429452705384,5.4924,1.5643,,,,,,PIT,5.04,,,,,,,,,,,,,,,,,,,
pitcher,STL,PIT,Dustin May,669160,,,Probable Starter,,5.831899999999999,17.0,2.3240119229820624,3.951547173287205,4.852399999999999,2.2843,,,,,,STL,4.342877235368356,,,,,,,,,,,,,,,,,,,
pitcher,NYM,WSH,David Peterson,656849,,,Probable Starter,,4.371899999999999,12.0,2.6309,6.451513813781738,6.062399999999999,1.8443,,,,,,NYM,6.42,,,,,,,,,,,,,,,,,,,
pitcher,WSH,NYM,Cade Cavalli,676917,,,Probable Starter,,5.6719,16.0,2.0237165775928867,4.427047429683841,3.7624,2.8443,,,,,,WSH,4.055132224073086,,,,,,,,,,,,,,,,,,,
pitcher,ATL,MIA,Spencer Strider,675911,,,Probable Starter,,5.9319,17.0,2.0909,4.123972510676914,4.9524,2.2143,,,,,,ATL,4.37,,,,,,,,,,,,,,,,,,,
pitcher,MIA,ATL,Sandy Alcantara,645261,,,Probable Starter,,4.781899999999999,13.0,2.5709,4.956976813125611,2.9724000000000004,1.6343,,,,,,MIA,6.37,,,,,,,,,,,,,,,,,,,
pitcher,NYY,TOR,Carlos Rodón,607074,,,Probable Starter,,3.3119,9.0,2.3109,3.054073253122965,3.4924000000000004,2.8143,,,,,,TOR,4.44,,,,,,,,,,,,,,,,,,,
pitcher,ATH,LAA,Luis Severino,622663,,,Probable Starter,,5.0519,14.0,2.3509,4.587416317113241,5.812399999999999,2.2443,,,,,,ATH,5.16,,,,,,,,,,,,,,,,,,,
pitcher,LAA,ATH,José Soriano,667755,,,Probable Starter,,6.321899999999999,18.0,2.363842351902126,4.957422851948429,5.9024,2.3843,,,,,,LAA,5.009105375171679,,,,,,,,,,,,,,,,,,,
pitcher,AZ,COL,Eduardo Rodriguez,593958,,,Probable Starter,,6.1719,18.0,2.2009,4.831351187939115,5.2924,1.3642999999999998,,,,,,COL,5.41,,,,,,,,,,,,,,,,,,,
hitter,CLE,DET,Daniel Schneemann,682177,1.0,3B,Confirmed Lineup,4.5459000000000005,,,,,0.356,0.2302,1.2,0.54,0.4854,2.16,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,José Ramírez,608070,2.0,DH,Confirmed Lineup,4.3959,,,,,0.936,0.2302,0.54,0.27,0.2653999999999999,1.02,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Chase DeLauter,800050,3.0,RF,Confirmed Lineup,4.2859,,,,,0.326,0.9602,0.52,0.4,0.2854,1.16,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Rhys Hoskins,656555,4.0,1B,Confirmed Lineup,4.1484000000000005,,,,,1.4733,1.19,0.51,0.45,0.3147,1.19,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Travis Bazzana,683953,5.0,2B,Confirmed Lineup,4.0684000000000005,,,,,0.9133,1.16,0.97,0.63,0.4747,1.99,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Angel Martínez,682657,6.0,LF,Confirmed Lineup,3.9584,,,,,1.0733,0.13,1.04,0.41,0.5046999999999999,1.86,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Steven Kwan,680757,7.0,CF,Confirmed Lineup,3.6008000000000004,,,,,0.7508,1.11,0.4145,0.37,0.2523,1.04,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Patrick Bailey,672275,8.0,C,Confirmed Lineup,3.5208000000000004,,,,,2.2708,0.13,0.4044999999999999,0.21,0.2423,0.86,0.04,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,CLE,DET,Brayan Rocchio,677587,9.0,SS,Confirmed Lineup,3.7108,,,,,0.2408,0.14,0.8545,0.37,0.3923,1.62,0.05,CLE,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,DET,CLE,Matt Vierling,663837,1.0,CF,Confirmed Lineup,4.3459,,,,,0.836,0.8202,0.9708051549040873,0.5476248150190505,0.3976655093869065,1.89,0.0484712044491244,DET,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,DET,CLE,Kevin McGonigle,805808,2.0,3B,Confirmed Lineup,4.2059,,,,,0.326,0.8102,0.941086629753962,0.5280667859112272,0.3878864948329949,1.83,0.0484712044491244,DET,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,DET,CLE,Dillon Dingler,693307,3.0,C,Confirmed Lineup,4.0959,,,,,1.216,0.7202,0.9311804547039204,0.508508756803404,0.4270025530486413,1.84,0.0484712044491244,DET,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,DET,CLE,Riley Greene,682985,4.0,LF,Confirmed Lineup,3.9584,,,,,0.9033,0.73,1.4363953822560471,0.7236470769894595,0.642103829572962,2.76,0.0484712044491244,DET,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,DET,CLE,Jahmai Jones,663330,5.0,DH,Confirmed Lineup,3.8884,,,,,1.2133,0.13,1.2283657062051716,0.5378458004651389,0.5638717131416691,2.28,0.0484712044491244,DET,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
hitter,DET,CLE,Spencer Torkelson,679529,6.0,1B,Confirmed Lineup,3.7784,,,,,1.3733,0.69,0.9014619295537952,0.4498346694799343,0.4465235384947297,1.74,0.0387769635592995,DET,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high
