fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,J.P. Crawford,0.5,-256,189,641487.0,hitter,0.26,0.2034,0.6751,-0.4718,0.4718,-0.7172,1.3022,UNDER,1.3022,REVIEW,1.4324,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Aaron Judge,0.5,-195,146,592450.0,hitter,0.262,0.2049,0.6192,-0.4143,0.4143,-0.69,0.956,UNDER,0.956,REVIEW,1.0516,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Liam Hicks,0.5,-266,196,689414.0,hitter,0.48,0.3428,0.6827,-0.3399,0.3399,-0.5283,0.9453,UNDER,0.9453,REVIEW,1.0398,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Jakob Marsee,0.5,-181,136,805300.0,hitter,0.26,0.2034,0.6032,-0.3998,0.3998,-0.6842,0.88,UNDER,0.88,REVIEW,0.968,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Edgar Quero,0.5,-180,135,700337.0,hitter,0.26,0.2034,0.6017,-0.3983,0.3983,-0.6836,0.872,UNDER,0.872,REVIEW,0.9593,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Ian Happ,0.5,-183,137,664023.0,hitter,0.274,0.2128,0.6051,-0.3923,0.3923,-0.6709,0.8656,UNDER,0.8656,REVIEW,0.9521,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Maikel Garcia,0.5,-235,174,672580.0,hitter,0.442,0.3205,0.6578,-0.3373,0.3373,-0.5431,0.8618,UNDER,0.8618,REVIEW,0.9479,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,James Wood,0.5,-224,166,695578.0,hitter,0.41,0.3013,0.6478,-0.3464,0.3464,-0.5642,0.8585,UNDER,0.8585,REVIEW,0.9443,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Vinnie Pasquantino,0.5,-230,170,686469.0,hitter,0.432,0.3147,0.653,-0.3383,0.3383,-0.5485,0.8504,UNDER,0.8504,REVIEW,0.9354,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Austin Martin,0.5,-252,186,668885.0,hitter,0.5,0.3542,0.6719,-0.3177,0.3177,-0.5052,0.847,UNDER,0.847,REVIEW,0.9317,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Miguel Vargas,0.5,-214,159,678246.0,hitter,0.39,0.289,0.6384,-0.3494,0.3494,-0.576,0.8415,UNDER,0.8415,REVIEW,0.9257,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,CJ Abrams,1.5,134,-180,682928.0,hitter,3.17,0.785,0.3993,0.3857,-0.3857,0.837,-0.6656,OVER,0.837,REVIEW,0.9207,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Luke Keaschall,0.5,-188,140,807712.0,hitter,0.32,0.2441,0.6104,-0.3663,0.3663,-0.626,0.8141,UNDER,0.8141,REVIEW,0.8956,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Pete Alonso,1.5,129,-172,624413.0,hitter,3.169,0.785,0.4085,0.3765,-0.3765,0.7975,-0.6599,OVER,0.7975,REVIEW,0.8773,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Caleb Durbin,0.5,-163,123,702332.0,hitter,0.259,0.2029,0.5802,-0.3773,0.3773,-0.6726,0.7775,UNDER,0.7775,REVIEW,0.8553,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Spencer Horwitz,0.5,259,-378,687462.0,hitter,0.68,0.4934,0.2605,0.2329,-0.2329,0.7712,-0.3594,OVER,0.7712,REVIEW,0.8484,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Adley Rutschman,0.5,-246,182,668939.0,hitter,0.535,0.3739,0.6672,-0.2933,0.2933,-0.4741,0.7655,UNDER,0.7655,REVIEW,0.8421,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Pete Crow-Armstrong,0.5,-198,148,691718.0,hitter,0.396,0.2929,0.6223,-0.3294,0.3294,-0.5592,0.7536,UNDER,0.7536,REVIEW,0.8289,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Salvador Perez,1.5,121,-161,521692.0,hitter,3.168,0.7847,0.4231,0.3616,-0.3616,0.7342,-0.651,OVER,0.7342,REVIEW,0.8077,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Dillon Dingler,0.5,-237,176,693307.0,hitter,0.54,0.3764,0.66,-0.2836,0.2836,-0.4648,0.7211,UNDER,0.7211,REVIEW,0.7932,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Andy Pages,0.5,-223,166,681624.0,hitter,0.5,0.3542,0.6474,-0.2932,0.2932,-0.487,0.7178,UNDER,0.7178,REVIEW,0.7896,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Coby Mayo,0.5,-180,135,691723.0,hitter,0.36,0.2702,0.6017,-0.3315,0.3315,-0.5796,0.7149,UNDER,0.7149,REVIEW,0.7864,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Nick Fortes,0.5,-152,115,663743.0,hitter,0.26,0.2034,0.5646,-0.3612,0.3612,-0.6628,0.7127,UNDER,0.7127,REVIEW,0.784,1.1,82
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Carter Jensen,0.5,-152,114,695600.0,hitter,0.255,0.2001,0.5635,-0.3634,0.3634,-0.6682,0.7118,UNDER,0.7118,REVIEW,0.783,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Bryce Harper,0.5,-192,144,547180.0,hitter,0.409,0.3006,0.616,-0.3154,0.3154,-0.5428,0.7065,UNDER,0.7065,REVIEW,0.7771,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Colt Emerson,0.5,-187,140,806068.0,hitter,0.39,0.289,0.6099,-0.321,0.321,-0.5565,0.7064,UNDER,0.7064,REVIEW,0.7771,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Chandler Simpson,0.5,-217,161,802415.0,hitter,0.49,0.3485,0.6411,-0.2926,0.2926,-0.4909,0.7003,UNDER,0.7003,REVIEW,0.7704,1.1,82
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Kevin McGonigle,0.5,-205,153,805808.0,hitter,0.46,0.3312,0.6297,-0.2985,0.2985,-0.5072,0.692,UNDER,0.692,REVIEW,0.7612,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Andruw Monasterio,0.5,-172,129,655316.0,hitter,0.349,0.2631,0.5915,-0.3284,0.3284,-0.584,0.6875,UNDER,0.6875,REVIEW,0.7563,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Josh Bell,0.5,-215,160,605137.0,hitter,0.5,0.3542,0.6396,-0.2854,0.2854,-0.481,0.6791,UNDER,0.6791,REVIEW,0.747,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Byron Buxton,0.5,-185,138,621439.0,hitter,0.4,0.2952,0.6071,-0.3119,0.3119,-0.5453,0.6775,UNDER,0.6775,REVIEW,0.7452,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Taylor Ward,0.5,-222,165,621493.0,hitter,0.526,0.3686,0.6463,-0.2777,0.2777,-0.4654,0.6733,UNDER,0.6733,REVIEW,0.7406,1.1,96
